quarter,npl
2008Q1,2.26
2008Q2,1.79
2008Q3,1.76
2008Q4,1.79
2009Q1,2.5
2009Q2,2.97
2009Q3,3.75
2009Q4,3.98
2010Q1,4.45
2010Q2,4.72
2010Q3,4.8
2010Q4,4.92
2011Q1,5.15
2011Q2,5.23
2011Q3,5.46
2011Q4,5.78
2012Q1,6.24
2012Q2,6.48
2012Q3,6.79
2012Q4,6.81
2013Q1,6.75
2013Q2,6.87
2013Q3,6.63
2013Q4,6.66
2014Q1,6.2
2014Q2,6.5
2014Q3,5.8
2014Q4,5.64
2015Q1,5.4
2015Q2,5.1
2015Q3,5
2015Q4,5.03
2016Q1,5.1
2016Q2,5
2016Q3,4.9
2016Q4,5.07
2017Q1,5.1
2017Q2,5.4
2017Q3,5.6
2017Q4,5.3
2018Q1,5.81
2018Q2,5.79
2018Q3,5.66
2018Q4,5.61
2019Q1,5.7
2019Q2,6.15
2019Q3,6.41
2019Q4,6.46
2020Q1,6.9
